CARD,SUBBED OUT,SUBBED IN,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE: A book or series that received ten votes or less.,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE: Not written by Jeff VanderMeer or China Miéville.,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE: Three or more authors.,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE: Not based in Britain or Ireland.,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE: Characters are not originally from Earth. It is acceptable for the characters to be descendants of Earthlings as long as they are not themselves from Earth.,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE: Not on r/Fantasy’s Favorite Standalones List.,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE: A YA book with an anti-hero.,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE: Must read a current selection of either a book club or readalong and participate in the discussion.,SQUARE 9: TITLE,SQUARE 9: AUTHOR,"SQUARE 9: HARD MODE: Weapon has a unique name. Examples: Excalibur from Arthurian legend, Dragnipur in Malazan, Sting in Lord of the Rings, etc.",SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE: Revolution/Rebellion is the main focus of the plot.,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE: The title has the character’s first and last name. Example: The First Fifteen Lives of Harry August.,SQUARE 12: TITLE,SQUARE 12: AUTHOR,"SQUARE 12: HARD MODE: Initials are a pseudonym and not from the author’s actual name. Examples: T. Kingfisher or K. J. Parker. ADDENDUM: Please do not go snooping to see if a name fits. If it isn't clear based on an author's webpage or social media, assume that it is their real name.",SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE: It's also a debut novel--as in it's the author's first published novel.,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE: Book has an LGBTQ+ POV character.,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE: Author is of African heritage.,SQUARE 16: TITLE,SQUARE 16: AUTHOR,"SQUARE 16: HARD MODE: Non-humanoid protagonist. No elves, angels, dwarves, hobbits, or humanoid aliens.",SQUARE 17: TITLE,SQUARE 17: AUTHOR,"SQUARE 17: HARD MODE: No time travel. Book involves something off about time that’s not necessarily time travel. Example: In The Chronicles of Narnia, time moves at a different speed in Narnia than in the real world.",SQUARE 18: TITLE OF COLLECTION/ANTHOLOGY (go to 18A if you did 5 short stories),SQUARE 18: AUTHOR/EDITOR (go to 18A if you did 5 short stories),SQUARE 18: HARD MODE: Read an entire SFF anthology or collection.,SQUARE 18A: Title of Short Story #1 (Do not fill out if you read all of a collection/anthology),SQUARE 18A: Author of Short Story #1,SQUARE 18B: Title of Short Story #2 (Do not fill out if you read all of a collection/anthology),SQUARE 18B: Author of Short Story #2,SQUARE 18C: Title of Short Story #3 (Do not fill out if you read all of a collection/anthology),SQUARE 18C: Author of Short Story #3,SQUARE 18D: Title of Short Story #4 (Do not fill out if you read all of a collection/anthology),SQUARE 18D: Author of Short Story #4,SQUARE 18E: Title of Short Story #5 (Do not fill out if you read all of a collection/anthology),SQUARE 18E: Author of Short Story #5,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE: Not The Stormlight Archive or any books in the linked list.,SQUARE 20: TITLE,SQUARE 20: AUTHOR,"SQUARE 20: HARD MODE: Self-published and has fewer than 100 ratings on Goodreads, OR an indie publisher that has done an AMA with r/Fantasy.",SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE: Neither Hugo-nominated nor Nebula-nominate.,SQUARE 22: TITLE,SQUARE 22: AUTHOR,SQUARE 22: HARD MODE: A book written by an Indigenous author.,SQUARE 23: TITLE,SQUARE 23: AUTHOR,"SQUARE 23: HARD MODE: Most prominent shifter is not a wolf/dog shifter. For instance, werewolves can exist but can’t be the most notable shifter characters/main characters.",SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE: Title is three words or more.,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE: Features at least three generations in a single family.
449.0,,,The Hourglass Throne,K.D. Edwards,,The Flowers of Vashnoi,Lois McMaster Bujold,Yes,Uncommon Charm,Emily Bergslien & Kat Weaver,,Ars Magica,Judith Tarr,Yes,Walking to Aldebaran,Adrian Tchaikovsky,,Small Favors,Erin A. Craig,Yes,Hide,Kiersten White,Yes,Tea with the Black Dragon,R.A. MacAvoy,,Pariah,Dan Abnett,,Green Rider,Kristen Britain,,Zachary Ying and the Dragon Emperor,Xiran Jay Zhao,Yes,Dead Silence,S.A. Barnes,Yes,A Prayer for the Crown-Shy,Becky Chambers,,His Consort,Mary Calmes,Yes,The Haunting of Tram Car 015,P. Djèlí Clark,Yes,The Dragon's Bride,Katee Robert,,The Paradox Hotel,Rob Hart,Yes,Alternative Alamat: Stories Inspired by Philippine Mythology,Paolo Chikiamco,Yes,,,,,,,,,,,The Very Secret Society of Irregular Witches,Sangu Mandanna,Yes,Let the Mountains Be My Grave,Francesca Tacchi,Yes,Last Letters from Hav,Jan Morris,Yes,House of Hunger,Alexis Henderson,,Hell & High Water,Charlie Cochet,Yes,Vespertine,Margaret Rogerson,,Nettle & Bone,T. Kingfisher,
450.0,Set in Africa,Features Dragons 2017,Bloody Rose,Nicholas Eames,Yes,Soulsmith,Will Wight,Yes,Heroic Hearts,"Jim Butcher, Kerrie Hughes",Yes,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,,Stringers,Chris Panatier,Yes,Redshirts,John Scalzi,,How to Defeat a Demon King in Ten Easy Steps,Andrew Rowe,Yes,Chasing Graves,Ben Galley,,The Dragon's Blade: the Reborn King,Michael R. Miller,Yes,Priest of Crowns,Peter McLean,Yes,Shad Hadid and the Alchemists of Alexandria,George Jreije,Yes,"Two Necromancers, an Army of Golems, and a Demon Lord",L.G. Estrella,,Legends & Lattes,Travis Baldree,Yes,One Foot in the Fade,Luke Arnold,,Of War and Ruin,Ryan Cahill,,The Book Eaters,Sunyi Dean,,Chosen,Benedict Jacka,Yes,,,,The Exile,Ryan Cahill,Shards,Ben Galley,Artificial Condition,Martha Wells,Rogue Protocol,Martha Wells,Gardens,Benedict Jacka,The Law,Jim Butcher,Yes,Earthside,Dennis E. Taylor,Yes,Cetaganda,Lois McMaster Bujold,Yes,To Shape a Dragon's Breath,Moniquill Blackgoose,Yes,The Warrior,Stephen Aryan,Yes,All Systems Red,Martha Wells,Yes,Daughter of Redwinter,Ed McDonald,
451.0,Self-Published,Title: ____ of _____ 2021,The Deed of Paksenarrion,Elizabeth Moon,Yes,Tress of the Emerald Sea,Brandon Sanderson,Yes,The Mask of Mirrors,M.A. Carrick,,In Great Waters,Kit Whitfield,,Harrow the Ninth,Tamsyn Muir,Yes,The Library at Mount Char,Scott Hawkins,,Jade City,Fonda Lee,,The Blacktongue Thief,Christopher Buehlman,,The Forgetting Moon,Brian Lee Durfee,Yes,Sixteen Ways to Defend a Walled City,K.J. Parker,Yes,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Yes,Witchmark,C.L. Polk,,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,Rivers of London,Ben Aaronovitch,,The Rage of Dragons,Evan Winter,Yes,The Tea Master and the Detective,Aliette de Bodard,Yes,Just One Damned Thing After Another,Jodi Taylor,,Kissing the Witch,Emma Donoghue,Yes,,,,,,,,,,,Paladin's Grace,T. Kingfisher,Yes,The Thousand Deaths of Ardor Benn,Tyler Whitesides,,Red Sister,Mark Lawrence,,Murder in G Major,Alexia Gordon,,Rosemary and Rue,Seanan McGuire,Yes,Fated,Benedict Jacka,,Legendborn,Tracy Deonn,Yes
452.0,,,The Drowning Girl,Caitlín R. Kiernan,Yes,The Kaiju Preservation Society,John Scalzi,Yes,Into Shadow,"Tomi Champion-Adeyemi, Lev Grossman, Alix E. Harrow, Nghi Vo, Tamsyn Muir, Veronica G. Henry, Garth Nix",Yes,A Restless Truth,Freya Marske,,The Spare Man,Mary Robinette Kowal,,Comeuppance Served Cold,Marion Deeds,Yes,Siren Queen,Nghi Vo,,The Order of the Pure Moon Reflected in Water,Zen Cho,Yes,The Law,Jim Butcher,,Servant Mage,Kate Elliott,Yes,Tam Lin,Pamela Dean,Yes,The Island of Doctor Moreau,H.G. Wells,,Nona the Ninth,Tamsyn Muir,,The Golden Enclaves,Naomi Novik,Yes,A Master of Djinn,P. Djèlí Clark,Yes,The Cloud Roads,Martha Wells,,Hunter's Oath,Michelle West,,A Lot Like Christmas,Connie Willis,Yes,,,,,,,,,,,A Psalm for the Wild-Built,Becky Chambers,Yes,Bryony and Roses,T. Kingfisher,,The Past is Red,Catherynne M. Valente,,When the Moon Was Ours,Anna-Marie McLemore,,The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Yes,Seasonal Fears,Seanan McGuire,,Magic for Liars,Sarah Gailey,
453.0,,,"To Be Taught, If Fortunate",Becky Chambers,,"House on the Borderland, The",William Hope Hodgson,Yes,Emerald Magic,Andrew M. Greeley,Yes,The Route of Ice and Salt,José Luis Zárate,Yes,Falling Free,Lois McMaster Bujold,,Among the Beasts & Briars,Ashley Poston,Yes,Nocturna,Maya Motayne,Yes,Too Like the Lightning,Ada Palmer,,All the Stars and Teeth,Adalyn Grace,Yes,Savage Legion,Matt Wallace,Yes,Young Flandry,Poul Anderson,,Bryony and Roses,T. Kingfisher,Yes,The Immortal,Gena Showalter,,"No Gods, No Monsters",Cadwell Turnbull,,The Gilded Ones,Namina Forna,Yes,The Ogress and the Orphans,Kelly Barnhill,,Chronocules,D.G. Compton,,Alabaster,Caitlín R. Kiernan,Yes,,,,,,,,,,,The Rest of Us Just Live Here,Patrick Ness,Yes,"Dungeon's Soul, A",Tao Wong,,"Only Ones, The",Carola Dibbell,Yes,Future Home of the Living God,Louise Erdrich,Yes,Fangs for Sharing,Bella Jacobs,Yes,Upright Women Wanted,Sarah Gailey,Yes,The Necessary Beggar,Susan Palwick,Yes
454.0,Two or More Authors,Romantic Fantasy - 2015,The Magpie Lord,K.J. Charles,Yes,The Expert System's Brother,Adrian Tchaikovsky,Yes,Half a Soul,Olivia Atwater,,She Who Became the Sun,Shelley Parker-Chan,Yes,The Employees,Olga Ravn,,A Half-Built Garden,Ruthanna Emrys,Yes,Plain Bad Heroines,Emily M. Danforth,,All the Murmuring Bones,A.G. Slatter,Yes,Spear,Nicola Griffith,Yes,The Bone Orchard,Sara A. Mueller,,Echo North,Joanna Ruth Meyer,,The Stranger Times,C.K. McDonnell,,How to Be Eaten,Maria Adelmann,Yes,The Book Eaters,Sunyi Dean,Yes,The Haunting of Tram Car 015,P. Djèlí Clark,Yes,"The Galaxy, and the Ground Within",Becky Chambers,Yes,Lonely Castle in the Mirror,Mizuki Tsujimura,Yes,,,,Trette's Bones,Grace Seybold,The Bones Beneath,Vanessa Fogg,Troubling a Star,Andrew Dykstal,The Eternal Cocktail Party of the Damned,Fonda Lee,Tears Waiting To Be Diamonds,Sarah Rees Brennan,The Last House on Needless Street,Catriona Ward,Yes,Stargazy Pie,Victoria Goddard,,Light from Uncommon Stars,Ryka Aoki,,Machinehood,S.B. Divya,,When Women Were Dragons,Kelly Barnhill,Yes,Passing Strange,Ellen Klages,,Garden Spells,Sarah Addison Allen,Yes
455.0,,,The Song of Achilles,Madeline Miller,,The Call of the Bone Ships,R.J. Barker,Yes,Norylska Groans,"Michael R. Fletcher, Clayton W. Snyder",,Babel,R.F. Kuang,,Record of a Spaceborn Few,Becky Chambers,Yes,Empress of Forever,Max Gladstone,Yes,The Hod King,Josiah Bancroft,,Finna,Nino Cipri,,Legendborn,Tracy Deonn,Yes,A Little Hatred,Joe Abercrombie,Yes,Dracula,Bram Stoker,,Under the Whispering Door,T.J. Klune,,The Oleander Sword,Tasha Suri,,Cemetery Boys,Aiden Thomas,Yes,The Sorcerer of the Wildeeps,Kai Ashante Wilson,,The Voyages of Cinrak the Dapper,A.J. Fitzwater,Yes,The Book of Accidents,Chuck Wendig,,Exhalation,Ted Chiang,Yes,,,,,,,,,,,Harrow the Ninth,Tamsyn Muir,Yes,Between Two Fires,Christopher Buehlman,,A Head Full of Ghosts,Paul Tremblay,,The Black God's Drums,P. Djèlí Clark,,The Seep,Chana Porter,Yes,Red Sister,Mark Lawrence,,Jade City,Fonda Lee,Yes
456.0,,,A Closed and Common Orbit,Becky Chambers,,Willowdeen,Katherine Applegate,Yes,Cold as Hell,"Rhett C. Bruno, Jaime Castle",,The Monsters We Defy,Leslye Penelope,Yes,The Employees,Olga Ravn,,Stardust,Neil Gaiman,,The Lesser Dead,Christopher Buehlman,,Foundryside,Robert Jackson Bennett,,Unsouled,Will Wight,,Red Rising,Pierce Brown,,Senlin Ascends,Josiah Bancroft,,The Hobbit,J.R.R. Tolkien,,The Kaiju Preservation Society,John Scalzi,,Cold Days,Jim Butcher,,A Dead Djinn in Cairo,P. Djèlí Clark,,Legends & Lattes,Travis Baldree,,Kindred,Octavia E. Butler,,Real Sugar is Hard to Find,Sim Kern,Yes,,,,,,,,,,,The Fated Sky,Mary Robinette Kowal,Yes,Sufficiently Advanced Magic,Andrew Rowe,,The Toll,Neal Shusterman,Yes,The Ballad of Perilous Graves,Alex Jennings,,Howl's Moving Castle,Diana Wynne Jones,Yes,Project Hail Mary,Andy Weir,Yes,The Magician's Elephant,Kate DiCamillo,
457.0,,,A Gathering of Shadows,V.E. Schwab,Yes,For the Throne,Hannah F. Whitten,Yes,"Three Kisses, One Midnight","Roshani Chokshi, Sandhya Menon, Evelyn Skye",Yes,Hall of Smoke,H. M. Long,Yes,An Unkindness of Ghosts,Rivers Solomon,Yes,When Women Were Dragons,Kelly Barnhill,Yes,Six of Crows,Leigh Bardugo,Yes,The Order of the Pure Moon Reflected in Water,Zen Cho,Yes,That Time I Got Drunk and Yeeted a Love Potion at a Werewolf,Kimberly Lemming,Yes,The Bone Shard Daughter,Andrea Stewart,Yes,The Interrogation of Ashala Wolf,Ambelin Kwaymullina,Yes,What Moves the Dead,T. Kingfisher,Yes,A Magic Steeped in Poison,Judy I. Lin,Yes,Jade Legacy,Fonda Lee,Yes,The Merciless Ones,Namina Forna,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,The Space Between Worlds,Micaiah Johnson,Yes,A People's Future of the United States,Victor LaValle,Yes,,,,,,,,,,,A Psalm for the Wild-Built,Becky Chambers,Yes,The Midnight Bargain,C.L. Polk,Yes,In the Vanisher's Palace,Aliette de Bodard,Yes,Fevered Star,Rebecca Roanhorse,Yes,The Stardust Thief,Chelsea Abdullah,Yes,Jade Fire Gold,June C.L. Tan,Yes,This Poison Heart,Kalynn Bayron,Yes
458.0,Anti-Hero,New to You Author 2021 (Hard Mode),Inda,Sherwood Smith,Yes,A New Clan,David Weber and Jane Lindskold,Yes,The Science of Discworld,"Terry Pratchett, Ian Stewart, Jack Cohen",Yes,The Song of Achilles,Madeline Miller,Yes,Ringworld,Larry Niven,,The Raven and the Reindeer,T. Kingfisher,Yes,Acorn,Kelsey Parpart,,Howl's Moving Castle,Diana Wynne Jones,,Tongue Eater,John Bierce,Yes,Where the Drowned Girls Go,Seanan McGuire,Yes,Senlin Ascends,Josiah Bancroft,,The Healers' Road,S.E. Robertson,,The Golden Enclaves,Naomi Novik,,Demons Are Forever,Julie Kenner,,A Stranger in Olondria,Sofia Samatar,Yes,Silverhair,Stephen Baxter,Yes,One Word Kill,Mark Lawrence,,The Fox's Tower and Other Tales: A Collection of Magical Short Stories,Yoon Ha Lee,Yes,,,,,,,,,,,Deerskin,Robin McKinley,Yes,Dreadgod,Will Wight,,Legends & Lattes,Travis Baldree,,The Route of Ice and Salt,José Luis Zárate,,The Isle of Glass,Judith Tarr,,Network Effect,Martha Wells,,Wrath Goddess Sing,Maya Deane,Yes
459.0,,,Foundryside,Robert Jackson Bennett,Yes,,,,A Death at the Dionysus Club,Melissa Scott & Amy Griswold,,A History of Dreams,Jane Rawson,Yes,Binti,Nnedi Okorafor,,The Very Secret Society of Irregular Witches,Sangu Mandanna,Yes,,,,,,,,,,The Unbroken,C.L. Clark,Yes,The Undertaking of Hart and Mercy,Megan Bannen,,A Wizard's Guide to Defensive Baking,T. Kingfisher,Yes,When Women Were Dragons,Kelly Barnhill,,Call Down the Hawk,Maggie Stiefvater,Yes,Redemptor,Jordan Ifueko,Yes,,,,Doomsday Book,Connie Willis,,,,,,,,,,,,,,,,,,Briarley,Aster Glenn Gray,,The Past is Red,Catherynne M. Valente,,Incendiary,Zoraida Córdova,,The Green Man's Foe,Juliet E. McKenna,Yes,Siren Queen,Nghi Vo,,The Book of Life,Deborah Harkness,Yes
460.0,BIPOC Author,Gothic Fantasy 2021,The Priory of the Orange Tree,Samantha Shannon,,Words of Radiance,Brandon Sanderson,Yes,Good Omens,"Neil Gaiman, Terry Pratchett",,The Song of Achilles,Madeline Miller,Yes,Project Hail Mary,Andy Weir,,Uprooted,Naomi Novik,,Cain,José Saramago,,Alanna: The First Adventure,Tamora Pierce,,Lord of Shadows,Cassandra Clare,Yes,Tigana,Guy Gavriel Kay,Yes,Gideon the Ninth,Tamsyn Muir,,Bryony and Roses,T. Kingfisher,Yes,Draco Malfoy and the Mortifying Ordeal of Being in Love,isthisselfcare,,A Touch of Darkness,Scarlett St. Clair,,Children of Blood and Bone,Tomi Adeyemi,Yes,The Golem and the Jinni,Helene Wecker,Yes,Burned,Karen Marie Moning,Yes,,,,Sight and Seeing,mightbewriting,Fantastic Elves and Where to Find Them,evansentranced,Shadow’s Legacy,Julie Kagawa,"Yer a Wizard, Dudley",dirgewithoutmusic,Anthology,Senlinyu,House of Earth and Blood,Sarah J. Maas,Yes,Decision at Thunder Rift,William H. Keith Jr,,The Dragon Reborn,Robert Jordan,Yes,Dracula,Bram Stoker,,The War of Two Queens,Jennifer L. Armentrout,,Gild,Raven Kennedy,,The Iron Warrior,Julie Kagawa,Yes
461.0,,,Starless,Jacqueline Carey,Yes,The Bone Ships,R.J. Barker,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,Between Two Fires,Christopher Buehlman,Yes,Blindsight,Peter Watts,,Roadside Picnic,"Arkady Strugatsky, Boris Strugatsky",Yes,The Blade Itself,Joe Abercrombie,,The Magpie Lord,K.J. Charles,Yes,Dune,Frank Herbert,,The Traitor Baru Cormorant,Seth Dickinson,Yes,Gideon the Ninth,Tamsyn Muir,,The Ten Thousand Doors of January,Alix E. Harrow,,"Woman, Eating",Claire Kohda,Yes,House of Hollow,Krystal Sutherland,Yes,Empire of Ivory,Naomi Novik,,The Amazing Maurice and His Educated Rodents,Terry Pratchett,Yes,The Library at Mount Char,Scott Hawkins,Yes,Her Body and Other Parties,Carmen Maria Machado,Yes,,,,,,,,,,,A Psalm for the Wild-Built,Becky Chambers,Yes,Legends & Lattes,Travis Baldree,,Borne,Jeff VanderMeer,Yes,The Jasmine Throne,Tasha Suri,,Ghostwater,Will Wight,Yes,The Silence of the Girls,Pat Barker,Yes,Jade Legacy,Fonda Lee,
462.0,,,On the Shoulders of Titans,Andrew Rowe,,The Sparrow,Mary Doria Russell,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,Within the Sanctuary of Wings,Marie Brennan,,Artifact Space,Miles Cameron,,The Once and Future Witches,Alix E. Harrow,Yes,The Golden Enclaves,Naomi Novik,,Legends & Lattes,Travis Baldree,,Tongue Eater,John Bierce,,The Fall,Ryan Cahill,Yes,Tress of the Emerald Sea,Brandon Sanderson,,2001: A Space Odyssey,Arthur C. Clarke,,Dreadgod,Will Wight,,Book of Night,Holly Black,,The Tower Unbroken,Michael Nwanolue,Yes,Dogs of War,Adrian Tchaikovsky,Yes,Mother of Learning,Domagoj Kurmaić,Yes,The Dying Earth,Jack Vance,Yes,,,,,,,,,,,Collaborator,Krista D. Ball,Yes,Her Own Devices,Shelley Adina,,Minor Mage,T. Kingfisher,Yes,Fevered Star,Rebecca Roanhorse,Yes,The Harbors of the Sun,Martha Wells,Yes,Guards! Guards!,Terry Pratchett,,Titus Groan,Mervyn Peake,
463.0,Self-Published,Set in Asia,Shorefall,Robert Jackson Bennett,Yes,The Bone Ships,R.J. Barker,Yes,Forward Collection,Blake Crouch,Yes,Between Two Fires,Christopher Buehlman,Yes,Network Effect,Martha Wells,Yes,The Luminous Dead,Caitlin Starling,Yes,Iron Widow,Xiran Jay Zhao,Yes,The Past is Red,Catherynne M. Valente,Yes,Spear,Nicola Griffith,Yes,The Unbroken,C.L. Clark,Yes,The First Fifteen Lives of Harry August,Claire North,Yes,Tiamat's Wrath,James S.A. Corey,Yes,The Memory Librarian: And Other Stories of Dirty Computer,"Janelle Monáe, Yohanca Delgado, Eve L. Ewing, Alaya Dawn Johnson, Danny Lore, Sheree Renée Thomas",Yes,White Trash Warlock,David R. Slayton,Yes,Noor,Nnedi Okorafor,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,Timekeeper,Tara Sim,Yes,Exhalation,Ted Chiang,Yes,,,,,,,,,,,Pet,Akwaeke Emezi,Yes,Black Water Sister,Zen Cho,Yes,The Rise and Fall of D.O.D.O.,"Neal Stephenson, Nicole Galland",Yes,Fevered Star,Rebecca Roanhorse,Yes,"Black Leopard, Red Wolf",Marlon James,Yes,Two Serpents Rise,Max Gladstone,Yes,The Veiled Throne,Ken Liu,Yes
464.0,Set in Africa,Novel with a Colour in the Title 2020,"To Be Taught, If Fortunate",Becky Chambers,Yes,The Book of Koli,M.R. Carey,Yes,The Five Crystals (The Adventures of Book 15),"Owen Christensen, Sophia Kruzer, Casey Moriarty, & Jonathan Weiss",Yes,The Invisible Life of Addie LaRue,V.E. Schwab,Yes,Network Effect,Martha Wells,Yes,The House in the Cerulean Sea,T.J. Klune,Yes,The Lies of Locke Lamora,Scott Lynch,,Sins of Empire,Brian McClellan,,Kings of the Wyld,Nicholas Eames,Yes,Iron Gold,Pierce Brown,Yes,Mort,Terry Pratchett,,Gutter Mage,J.S. Kelley,,The Butcher's Masquerade,Matt Dinniman,,"The Dispatcher, Murder By Other Means, Travel By Bullet",John Scalzi,,Red Sister,Mark Lawrence,,Heaven's River,Dennis E. Taylor,,The Alloy of Law,Brandon Sanderson,Yes,How Long 'til Black Future Month?,N.K. Jemisin,Yes,,,,,,,,,,,The Poppy War,R.F. Kuang,,Sufficiently Advanced Magic,Andrew Rowe,,Last Argument of Kings,Joe Abercrombie,,Ring Shout,P. Djèlí Clark,,Turn Coat,Jim Butcher,Yes,Stardust,Neil Gaiman,,Saga,"Brian K. Vaughan, Fiona Staples",Yes
465.0,,,Dreadnought,April Daniels,Yes,Piranesi,Susanna Clarke,Yes,Dragon’s Kin,Todd McCaffrey and Anne McCaffrey,,The Night Crossing,Robert Masello,Yes,Bluebird,Ciel Pierlot,Yes,Legends & Lattes,Travis Baldree,Yes,Six of Crows,Leigh Bardugo,Yes,Kindred,Octavia E. Butler,,Dreadgod,Will Wight,,Oh Great! I was Reincarnated as a Farmer,Benjamin Kerei,Yes,The First Fifteen Lives of Harry August,Claire North,Yes,Red Mars,Robert A. Heinlein,,In the Shadow of Lightning,Brian McClellan,,The Graveyard Book,Neil Gaiman,,The Queue,Basma Abdel Aziz,Yes,Cleaver's Edge,Actus,Yes,Star Mother,Charlie N. Holmberg,,Bless Your Mechanical Heart,Jennifer Brozek,Yes,,,,,,,,,,,A Darkly Beating Heart,Lindsay Smith,Yes,The Wandering Inn,Pirateaba,,Deryni Rising,Katherine Kurtz,Yes,The Quarter Storm,Veronica G. Henry,,The Shape-Changer's Wife,Sharon Shinn,Yes,Sufficiently Advanced Magic,Andrew Rowe,Yes,The Kingdom of Gods,N.K. Jemisin,
466.0,,,The House in the Cerulean Sea,T.J. Klune,,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,Silk and Steel: A Queer Speculative Adventure Anthology,"Ellen Kushner, Aliette de Bodard, Yoon Ha Lee, Neon Yang, Jennifer Mace, Django Wexler, et al.",Yes,Babel,R.F. Kuang,,Network Effect,Martha Wells,Yes,Piranesi,Susanna Clarke,Yes,A Deadly Education,Naomi Novik,,The Priory of the Orange Tree,Samantha Shannon,,The Last Dragonslayer,Jasper Fforde,Yes,Frogkisser,Garth Nix,,Sandry's Book,Tamora Pierce,,Paladin's Grace,T. Kingfisher,Yes,Farilane,Michael J. Sullivan,,A Master of Djinn,P. Djèlí Clark,Yes,Redemptor,Jordan Ifueko,Yes,Legends & Lattes,Travis Baldree,,To Say Nothing of the Dog,Connie Willis,,Deeds of Honor,Elizabeth Moon,Yes,,,,,,,,,,,A Prayer for the Crown-Shy,Becky Chambers,Yes,The Lost City of Ithos,John Bierce,,"The Mermaid, the Witch, and the Sea",Maggie Tokuda-Hall,Yes,Race to the Sun,Rebecca Roanhorse,Yes,Mark of Athena,Rick Riordan,Yes,Sword-Dancer,Jennifer Roberson,,A Spindle Splintered,Alix E. Harrow,
467.0,,,Locklands,Robert Jackson Bennett,Yes,Darkdawn,Jay Kristoff,Yes,My Calamity Jane,"Cynthia Hand, Brodi Ashton, Jodi Meadows",Yes,The Girl in the Tower,Katherine Arden,Yes,Eyes of the Void,Adrian Tchaikovsky,Yes,Dark Harvest,Norman Partridge,Yes,These Violent Delights,Chloe Gong,Yes,Hench,Natalie Zina Walschots,Yes,Emperor of Thorns,Mark Lawrence,Yes,The Oleander Sword,Tasha Suri,Yes,The Haunting of Brynn Wilder,Wendy Webb,Yes,Over the Woodward Wall,A. Deborah Baker,Yes,"Burn Down, Rise Up",Vincent Tirado,Yes,The World We Make,N.K. Jemisin,Yes,Remote Control,Nnedi Okorafor,Yes,Sea of Rust,C. Robert Cargill,Yes,The Raven King,Maggie Stiefvater,Yes,The Devil and the Deep,Ellen Datlow,Yes,,,,,,,,,,,A Dowry of Blood,S.T. Gibson,Yes,The Second Bell,Gabriela Houston,Yes,When We Were Animals,Joshua Gaylord,Yes,Elatsoe,Darcie Little Badger,Yes,Strange Practice,Vivian Shaw,Yes,When We Were Magic,Sarah Gailey,Yes,Pet Sematary,Stephen King,Yes
468.0,Self-Published,Feminist novel,Silver in the Wood,Emily Tesh,Yes,The Bone Ships,R.J. Barker,Yes,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,The Ghost Bride,Yangsze Choo,Yes,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,The Kaiju Preservation Society,John Scalzi,Yes,Iron Widow,Xiran Jay Zhao,Yes,The Hand of the Sun King,J.T. Greathouse,Yes,Terciel & Elinor,Garth Nix,Yes,Age of Ash,Daniel Abraham,Yes,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Yes,Nettle & Bone,T. Kingfisher,Yes,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,The City We Became,N.K. Jemisin,Yes,A Song of Wraiths and Ruin,Roseanne A. Brown,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,The Space Between Worlds,Micaiah Johnson,Yes,Take Us to Your Chief: And Other Stories,Drew Hayden Taylor,Yes,,,,,,,,,,,The Drowning Girl,Caitlín R. Kiernan,Yes,The Midnight Bargain,C.L. Polk,Yes,Best Served Cold,Joe Abercrombie,Yes,Future Home of the Living God,Louise Erdrich,Yes,The Witch's Heart,Genevieve Gornichec,Yes,Light from Uncommon Stars,Ryka Aoki,Yes,All the Murmuring Bones,A.G. Slatter,Yes
