,gender,ethnicity,queer,nationality
David Liss,Man,White,False,Unknown
Stant Litore,Unknown,Unknown,,Unknown
Liv Little,Unknown,Unknown,,Unknown
Jamie Littler,Man,White,False,Unknown
Angela Liu,Unknown,Unknown,,Unknown
Anja Hendrikse Liu,Unknown,Unknown,,Unknown
Cixin Liu,Man,Asian,False,Unknown
Em X. Liu,Unknown,Unknown,,Unknown
Ken Liu,Man,Asian,False,Unknown
Marjorie M. Liu,Woman,Asian,False,Unknown
Sylvia Liu,Unknown,Unknown,,Unknown
Alex Livingston,Unknown,Unknown,,Unknown
David Llewellyn,Man,White,False,Unknown
Charlotte Llewelyn-Wells,Unknown,Unknown,,Unknown
Maria Llovet,Unknown,Unknown,,Unknown
David Lloyd,Unknown,Unknown,,Unknown
Natalie Lloyd,Unknown,Unknown,,Unknown
Tom Lloyd,Unknown,Unknown,,Unknown
Emily Lloyd-Jones,Woman,White,False,Unknown
Morgan Llywelyn,Unknown,Unknown,,Unknown
Malinda Lo,Woman,Asian,True,Unknown
Ryan Van Loan,Unknown,Unknown,,Unknown
M.K. Lobb,Unknown,Unknown,,Unknown
Jared Lobdell,Man,White,False,Unknown
Greg Lockard,Unknown,Unknown,,Unknown
Fox N. Locke,Unknown,Unknown,,Unknown
Katherine Locke,Unknown,Unknown,,Unknown
Wolfe Locke,Unknown,Unknown,,Unknown
Kara Lockharte,Unknown,Unknown,,Unknown
K.R.R. Lockhaven,Man,White,False,Unknown
Joseph Loconte,Man,White,False,Unknown
Jeph Loeb,Unknown,Unknown,,Unknown
A. Alex Logan,Nonbinary,Unknown,True,Unknown
Kirsty Logan,Unknown,Unknown,,Unknown
E. Jade Lomax,Woman,Black,True,Unknown
Alex London,Unknown,Unknown,,Unknown
H.M. Long,Woman,White,False,Unknown
Nathan Long,Unknown,Unknown,,Unknown
Alaric Longward,Unknown,Unknown,,Unknown
Steve Lookner,Unknown,Unknown,,Unknown
Ben Loory,Unknown,Unknown,,Unknown
Mat Lopes,Unknown,Unknown,,Unknown
Karen Lord,Woman,Black,False,Unknown
J.J. Lorden,Unknown,Unknown,,Unknown
Pittacus Lore,Unknown,Unknown,,Unknown
Marina J. Lostetter,Woman,White,False,Unknown
Alexis Lothian,Woman,White,True,Unknown
Sarah Lotz,Unknown,Unknown,,Unknown
Amber Lough,Unknown,Unknown,,Unknown
Valkyrie Loughcrewe,Unknown,Unknown,,Unknown
Ander Louis,Man,White,False,Unknown
Saskia Louis,Unknown,Unknown,,Unknown
A.Z. Louise,Unknown,Unknown,,Unknown
Laura Loup,Woman,White,False,Unknown
Andries Louws,Unknown,Unknown,,Unknown
H.P. Lovecraft,Man,White,False,Unknown
James Lovegrove,Man,White,False,Unknown
Robin Lovett,Unknown,Unknown,,Unknown
Karin Lowachee,Woman,Native,True,Unknown
James Lowder,Unknown,Unknown,,Unknown
Anne Lowe,Unknown,Unknown,,Unknown
Anthony Lowe,Man,White,False,Unknown
Eric Lowe,Man,White,False,Unknown
Mari Lowe,Unknown,Unknown,,Unknown
Nathan Lowell,Man,White,False,Unknown
Lois Lowry,Woman,White,False,Unknown
Marie Lu,Woman,Asian,False,Unknown
S. Qiouyi Lu,Nonbinary,Asian,True,Unknown
Leila Del Luca,Unknown,Unknown,,Unknown
Naomi Lucas,Unknown,Unknown,,Unknown
Romain Lucazeau,Unknown,Unknown,,Unknown
James Luceno,Unknown,Unknown,,Unknown
Makiia Lucier,Unknown,Unknown,,Unknown
Roger Luckhurst,Man,White,False,Unknown
Chelsea Luckritz,Unknown,Unknown,,Unknown
Meg Ludwa,Unknown,Unknown,,Unknown
Dante Luiz,Unknown,Unknown,,Unknown
F.T. Lukens,Nonbinary,White,True,Unknown
Kyle Lukoff,Man,White,False,Unknown
Sergei Lukyanenko,Unknown,Unknown,,Unknown
Douglas Lumsden,Unknown,Unknown,,Unknown
Jonathan Luna,Unknown,Unknown,,Unknown
Emme Lund,Unknown,Unknown,,Unknown
Maja Lunde,Woman,White,False,Unknown
Catherine Lundoff,Unknown,Unknown,,Unknown
Demetria Lunetta,Unknown,Unknown,,Unknown
Lexa Luthor,Unknown,Unknown,,Unknown
Damien Lutz,Unknown,Unknown,,Unknown
John Lutz,Unknown,Unknown,,Unknown
Chad Lutzke,Unknown,Unknown,,Unknown
Claudia Lux,Unknown,Unknown,,Unknown
David Ly,Unknown,Unknown,,Unknown
Brian Lynch,Unknown,Unknown,,Unknown
Scott Lynch,Man,White,False,Unknown
Elizabeth A. Lynn,Woman,White,True,Unknown
Hannah Lynn,Unknown,Unknown,,Unknown
Mackenzie Lynn,Woman,Unknown,,Unknown
Marley Lynn,Unknown,Unknown,,Unknown
Emily Lynne,Unknown,Unknown,,Unknown
Dorian Lynskey,Man,White,False,Unknown
Jenn Lyons,Woman,White,False,Unknown
Alexiane De Lys,Unknown,Unknown,,Unknown
Jack Lyster,Unknown,Unknown,,Unknown
Robin Lythgoe,Woman,White,False,Unknown
Minh Lê,Unknown,Unknown,,Unknown
Teresa López-Pellisa,Unknown,Unknown,,Unknown
Elias Lönnrot,Man,White,False,Unknown
Ana M.,Unknown,Unknown,,Unknown
Hye M.,Unknown,Unknown,,Unknown
Kyoko M.,Unknown,Unknown,,Unknown
MKRNYILGLD,Unknown,Unknown,,Unknown
Ling Ma,Unknown,Unknown,,Unknown
Kari Maaren,Woman,White,False,Unknown
Sarah J. Maas,Woman,White,False,Unknown
Jonathan Maberry,Man,White,False,Unknown
Samantha Mabry,Unknown,Unknown,,Unknown
R.A. MacAvoy,Woman,White,False,Unknown
Erin MacDonald,Woman,White,False,Unknown
George MacDonald,Man,White,False,Unknown
Alex Dalley MacFarlane,Woman,Unknown,,Unknown
MacFarlane,Unknown,Unknown,,Unknown
Maya MacGregor,Unknown,Unknown,,Unknown
D.J. MacHale,Man,White,False,Unknown
Martin MacInnes,Unknown,Unknown,,Unknown
Skye MacKinnon,Unknown,Unknown,,Unknown
Andrew MacLean,Man,White,False,Unknown
Sarah MacLean,Woman,White,False,Unknown
Ken MacLeod,Unknown,Unknown,,Unknown
W.R. MacNeill,Unknown,Unknown,,Unknown
Caylan MacRae,Unknown,Unknown,,Unknown
L.L. MacRae,Woman,White,False,Unknown
G.M. Macallister,Unknown,Unknown,,Unknown
Rose Macaulay,Woman,White,False,Unknown
Helen Macdonald,Unknown,Unknown,,Unknown
Jennifer Mace,Unknown,Unknown,,Unknown
H.L. Macfarlane,Unknown,White,False,Unknown
Tamara Macfarlane,Woman,White,False,Unknown
Carmen Maria Machado,Woman,Hispanic,True,Unknown
Arthur Machen,Unknown,Unknown,,Unknown
Joanna Maciejewska,Unknown,Unknown,,Unknown
Monika Maciewicz,Unknown,Unknown,,Unknown
Katie Mack,Woman,White,False,Unknown
Will Maclean,Unknown,Unknown,,Unknown
Elizabeth Macneal,Unknown,Unknown,,Unknown
Macronomicon,Unknown,Unknown,,Unknown
Maz Maddox,Unknown,Unknown,,Unknown
Shane Madej,Unknown,Unknown,,Unknown
J.L. Madore,Unknown,Unknown,,Unknown
Devin Madson,Woman,White,False,Unknown
Hannah Nicole Maehrer,Unknown,Unknown,,Unknown
Tahereh Mafi,Woman,Asian,False,Unknown
Drew Magary,Unknown,Unknown,,Unknown
Terry Maggert,Unknown,Unknown,,Unknown
Dirk Maggs,Unknown,Unknown,,Unknown
Sam Maggs,Unknown,Unknown,,Unknown
Rifujin Na Magonote,Man,Asian,False,Unknown
Nilah Magruder,Unknown,Unknown,,Unknown
Gregory Maguire,Man,White,False,Unknown
Alex Maher,Unknown,Unknown,,Unknown
Naguib Mahfouz,Unknown,Unknown,,Unknown
Ian Mahler,Unknown,Unknown,,Unknown
Aaron Mahnke,Man,White,False,Unknown
Rebecca Mahoney,Unknown,Unknown,,Unknown
Shelby Mahurin,Woman,White,False,Unknown
Deborah Makarios,Woman,White,False,Unknown
Prince Joel Makonnen,Unknown,Unknown,,Unknown
Dominica Malcolm,Unknown,Unknown,,Unknown
C.S. Malerich,Woman,White,False,Unknown
Josh Malerman,Man,White,False,Unknown
Ronald Malfi,Unknown,Unknown,,Unknown
Deepak Malhotra,Unknown,Unknown,,Unknown
Eric Malikyte,Unknown,Unknown,,Unknown
David Malki,Unknown,Unknown,,Unknown
Frankie Diane Mallis,Unknown,Unknown,,Unknown
Erin Mallon,Unknown,Unknown,,Unknown
James Mallory,Unknown,Unknown,,Unknown
Terrance Malloy,Unknown,Unknown,,Unknown
Thomas Malory,Unknown,Unknown,,Unknown
Racheline Maltese,Unknown,Unknown,,Unknown
Nick Mamatas,Man,White,False,Unknown
Micheal Mammay,Unknown,Unknown,,Unknown
Terry Mancour,Man,White,False,Unknown
Sangu Mandanna,Woman,Asian,False,Unknown
Emily St. John Mandel,Woman,White,False,Unknown
Lee Mandelo,Nonbinary,White,True,Unknown
Hollee Mands,Unknown,Unknown,,Unknown
Abigail Mangin,Unknown,Unknown,,Unknown
Victor Manibo,Unknown,Unknown,,Unknown
Kuzhali Manickavel,Unknown,Unknown,,Unknown
Kerri Maniscalco,Woman,White,False,Unknown
George Mann,Unknown,Unknown,,Unknown
Paul Mannering,Unknown,Unknown,,Unknown
Julie Mannino,Unknown,Unknown,,Unknown
Daniel P. Mannix,Unknown,Unknown,,Unknown
Michalis Manolios,Unknown,Unknown,,Unknown
Lauren Mansy,Unknown,Unknown,,Unknown
C. Mantis,Man,White,False,Unknown
Michelle Manus,Unknown,Unknown,,Unknown
Lyndsie Manusos,Unknown,Unknown,,Unknown
Alessandro Manzetti,Man,White,False,Unknown
Ester Manzini,Woman,White,True,Unknown
Bianca Marais,Unknown,Unknown,,Unknown
Robert Marasco,Unknown,Unknown,,Unknown
Melissa Marble,Woman,Unknown,,Unknown
Melina Marchetta,Unknown,Unknown,,Unknown
Élan Marché,Unknown,Unknown,,Unknown
John Marco,Unknown,Unknown,,Unknown
Gideon Marcus,Woman,White,,Unknown
Ana Mardoll,Nonbinary,White,True,Unknown
Garth Marenghi,Unknown,Unknown,,Unknown
Marshall Ryan Maresca,Man,White,False,Unknown
Annette Marie,Woman,White,False,Unknown
Juliet Marillier,Woman,White,False,Unknown
Rae Mariz,Unknown,Unknown,,Unknown
Gene Markey,Unknown,Unknown,,Unknown
William C. Markham,Man,White,False,Unknown
Laurie J. Marks,Woman,White,True,Unknown
Tobin Marks,Man,White,False,Unknown
Ari Marmell,Unknown,Unknown,,Unknown
Nikki Marmery,Unknown,Unknown,,Unknown
Celina Marquez,Unknown,Unknown,,Unknown
M.A. Marr,Unknown,Unknown,,Unknown
Melissa Marr,Woman,White,False,Unknown
Michael Marrak,Unknown,Unknown,,Unknown
Michelle Marrison,Unknown,Unknown,,Unknown
John Marrs,Unknown,Unknown,,Unknown
John Marsden,Unknown,Unknown,,Unknown
Richard Marsh,Man,White,False,Unknown
Sarah Glenn Marsh,Woman,White,True,Unknown
A.G. Marshall,Unknown,Unknown,,Unknown
Alex Marshall,Man,White,False,Unknown
Helen Marshall,Woman,White,False,Unknown
Kate Alice Marshall,Unknown,Unknown,,Unknown
Lisette Marshall,Unknown,Unknown,,Unknown
Liz Marsham,Woman,White,False,Unknown
Freya Marske,Woman,White,True,Unknown
Yann Martel,Unknown,Unknown,,Unknown
Nick Martell,Man,White,False,Unknown
Paul E. Martens,Unknown,Unknown,,Unknown
Celestine Martin,Unknown,Unknown,,Unknown
Daniel Martin,Man,White,False,Unknown
Emily Winfield Martin,Woman,White,False,Unknown
Eric Jason Martin,Man,White,False,Unknown
Gareth Damian Martin,Unknown,Unknown,,Unknown
George R.R. Martin,Man,White,False,Unknown
Liam Martin,Unknown,Unknown,,Unknown
Samuel Frank Martin,Unknown,Unknown,,Unknown
Sophia Martin,Unknown,Unknown,,Unknown
Wilkie Martin,Unknown,Unknown,,Unknown
Arkady Martine,Woman,White,True,Unknown
Cher Martinetti,Woman,White,False,Unknown
A. Lee Martinez,Man,Hispanic,,United States
Cyrille Martinez,Unknown,Unknown,,Unknown
Gama Ray Martinez,Unknown,Unknown,,Unknown
Katerina Martinez,Unknown,Unknown,,Unknown
Kugane Maruyama,Man,Asian,False,Unknown
Kate Mascarenhas,Woman,Asian,False,Unknown
Kendra Mase,Unknown,Unknown,,Unknown
Robert Masello,Unknown,Unknown,,Unknown
Hiro Mashima,Unknown,Unknown,,Unknown
Duncan Masica,Man,White,False,Unknown
Neve Maslakovic,Unknown,Unknown,,Unknown
Herbert Mason,Unknown,Unknown,,Unknown
Michelle I. Mason,Woman,White,False,Unknown
Rena Mason,Unknown,Unknown,,Unknown
Wendy Mass,Unknown,Unknown,,Unknown
M.D. Massey,Unknown,Unknown,,Unknown
Graham Masterton,Man,White,False,Unknown
Krystle Matar,Woman,White,False,Unknown
Taran Matharu,Unknown,Unknown,,Unknown
Matthew Mather,Unknown,Unknown,,Unknown
Richard Matheson,Man,White,False,Unknown
J.R. Mathews,Man,White,False,Unknown
Hannah Mathewson,Woman,White,False,Unknown
Paavo Matsin,Unknown,Unknown,,Unknown
Aoko Matsuda,Woman,Asian,False,Unknown
Akino Matsuri,Unknown,Unknown,,Unknown
Casey Matthews,Unknown,Unknown,,Unknown
G.R. Matthews,Man,White,False,Unknown
Luke Matthews,Man,White,False,Unknown
Patrick Matthews,Unknown,Unknown,,Unknown
Susan R. Matthews,Unknown,Unknown,,Unknown
Janina Matthewson,Unknown,Unknown,,Unknown
Steph Matuku,Unknown,Unknown,,Unknown
Malia Maunakea,Unknown,Unknown,,Unknown
Daphne du Maurier,Woman,White,False,Unknown
Claire Mavis,Unknown,Unknown,,Unknown
James Maxstadt,Man,White,False,Unknown
Everina Maxwell,Woman,White,True,Unknown
Flint Maxwell,Man,White,False,Unknown
Gina L. Maxwell,Unknown,Unknown,,Unknown
Lisa Maxwell,Unknown,Unknown,,Unknown
Andrew May,Man,White,False,Unknown
Elena May,Unknown,Unknown,,Unknown
Elizabeth May,Unknown,Unknown,,Unknown
Francesca May,Unknown,Unknown,,Unknown
Julian May,Unknown,Unknown,,Unknown
Katie May,Unknown,Unknown,,Unknown
Shannon Mayer,Woman,White,False,Unknown
Jessica Mayerovitch,Unknown,Unknown,,Unknown
Luke R.J. Maynard,Unknown,Unknown,,Unknown
Lily Mayne,Woman,White,False,Unknown
Eduardo Jimenez Mayo,Unknown,Unknown,,Unknown
Suzette Mayr,Unknown,Unknown,,Unknown
Jakub Małecki,Unknown,Unknown,,Unknown
Kwame Mbalia,Man,Black,False,Unknown
Bruce McAllister,Man,White,False,Unknown
Gillian McAllister,Unknown,Unknown,,Unknown
Brian McAuley,Unknown,Unknown,,Unknown
Paul J. McAuley,Man,White,True,Unknown
Amber McBride,Unknown,Unknown,,Unknown
Eimear McBride,Unknown,Unknown,,Unknown
Hannah McBride,Unknown,Unknown,,Unknown
Karen McBride,Woman,Native,False,Unknown
Lish McBride,Unknown,Unknown,,Unknown
Mackenzie McCade,Unknown,Unknown,,Unknown
Stuart R. McCafferty,Man,White,False,Unknown
Anne McCaffrey,Woman,White,False,Unknown
Todd McCaffrey,Unknown,Unknown,,Unknown
Timothy L. McCallum,Unknown,Unknown,,Unknown
Robert R. McCammon,Man,White,False,Unknown
Cormac McCarthy,Unknown,Unknown,,Unknown
Cory McCarthy,Unknown,Unknown,,Unknown
Wil McCarthy,Unknown,Unknown,,Unknown
Randy McCharles,Unknown,Unknown,,Unknown
Virginia McClain,Unknown,Unknown,,Unknown
Meredith McClaren,Unknown,Unknown,,Unknown
Brian McClellan,Man,White,False,Unknown
Michael McClellan,Man,White,False,Unknown
Cedar McCloud,Unknown,Unknown,,Unknown
Ian R. McCloud,Unknown,Unknown,,Unknown
Scott McCloud,Man,White,False,Unknown
Michael McClung,Man,White,False,Unknown
Max McClure,Unknown,Unknown,,Unknown
Charlotte McConaghy,Woman,White,False,Unknown
Marika McCoola,Unknown,Unknown,,Unknown
Erika McCorkle,Unknown,Unknown,,Unknown
Amanda McCormack,Unknown,Unknown,,Unknown
J. McCoy,Unknown,Unknown,,Unknown
Stephen McCranie,Unknown,Unknown,,Unknown
Dave McCreery,Unknown,Unknown,,Unknown
Cathy McCrumb,Unknown,Unknown,,Unknown
Joseph A. McCullough,Unknown,Unknown,,Unknown
Dom McDermott,Unknown,Unknown,,Unknown
Joe M. McDermott,Unknown,Unknown,,Unknown
Kirstyn McDermott,Unknown,Unknown,,Unknown
Jack McDevitt,Unknown,Unknown,,Unknown
Martine McDonagh,Unknown,Unknown,,Unknown
Ed McDonald,Man,White,True,Unknown
Ian McDonald,Unknown,Unknown,,Unknown
Keris McDonald,Unknown,Unknown,,Unknown
Sandra McDonald,Unknown,Unknown,,Unknown
Nick McDonell,Unknown,Unknown,,Unknown
C.K. McDonnell,Man,White,False,Unknown
Harriet McDougal,Unknown,Unknown,,Unknown
Kim McDougall,Unknown,Unknown,,Unknown
Vista McDowall,Woman,White,False,Unknown
Kara McDowell,Unknown,Unknown,,Unknown
M. Daniel McDowell,Unknown,Unknown,,Unknown
Michael McDowell,Man,White,True,Unknown
Clint McElroy,Man,White,False,Unknown
Griffin McElroy,Man,White,False,Unknown
Justin McElroy,Unknown,Unknown,,Unknown
Travis McElroy,Unknown,Unknown,,Unknown
K.R.S. McEntire,Unknown,Unknown,,Unknown
Paul McEuen,Unknown,Unknown,,Unknown
Ian McEvan,Man,White,False,Unknown
Alanna McFall,Unknown,Unknown,,Unknown
Molly McGhee,Unknown,Unknown,,Unknown
C.E. McGill,Unknown,Unknown,,Unknown
E.E. McGill,Woman,White,False,Unknown
Ian McGinty,Unknown,Unknown,,Unknown
Bob McGough,Man,White,False,Unknown
Scott McGough,Man,White,False,Unknown
Bridget McGovern,Woman,White,False,Unknown
Emily McGovern,Unknown,Unknown,,Unknown
Tim McGregor,Unknown,Unknown,,Unknown
Sarah McGuire,Unknown,Unknown,,Unknown
Seanan McGuire,Woman,White,True,Unknown
Maureen F. McHugh,Woman,White,False,Unknown
Steve McHugh,Man,White,False,Unknown
Catherine McIlwaine,Woman,White,False,Unknown
Nicholas McIntire,Man,White,False,Unknown
Will McIntosh,Man,White,False,Unknown
Kate McIntyre,Unknown,Unknown,,Unknown
Vonda N. McIntyre,Woman,White,False,Unknown
Ami McKay,Woman,White,False,Unknown
Bones McKay,Man,White,True,Unknown
Laura McKay,Unknown,Unknown,,Unknown
Dave McKean,Unknown,Unknown,,Unknown
Sean McKeever,Unknown,Unknown,,Unknown
Claire McKenna,Unknown,Unknown,,Unknown
Juliet E. McKenna,Woman,White,False,Unknown
Rachel Mans McKenny,Unknown,Unknown,,Unknown
J.C. McKenzie,Woman,White,False,Unknown
Kyle McKeon,Man,Unknown,,Unknown
Patricia A. McKillip,Woman,White,False,Unknown
K.M. McKinley,Unknown,Unknown,,Unknown
Robin McKinley,Woman,White,False,Unknown
Chris McKinney,Man,Asian,False,Unknown
L.L. McKinney,Unknown,Unknown,,Unknown
Kate McKinnon,Unknown,Unknown,,Unknown
Patricia C. McKissack,Unknown,Unknown,,Unknown
Jenny McLachlan,Woman,White,False,Unknown
Peter McLean,Man,White,False,Unknown
Anna-Marie McLemore,Nonbinary,Hispanic,True,Unknown
Elliott McLemore,Unknown,Unknown,,Unknown
Jennifer McMahon,Woman,White,True,Unknown
Owen McManus,Unknown,Unknown,,Unknown
Bec McMaster,Unknown,Unknown,,Unknown
P.L. McMillan,Unknown,Unknown,,Unknown
Peter McMillan,Unknown,Unknown,,Unknown
Jesse McMinn,Man,White,False,Unknown
Jessica A. McMinn,Unknown,Unknown,,Unknown
Mary McMyne,Unknown,Unknown,,Unknown
Luna McNamara,Unknown,Unknown,,Unknown
Laurence McNaughton,Man,White,False,Unknown
Kelley McNeil,Unknown,Unknown,,Unknown
Graham McNeill,Unknown,Unknown,,Unknown
Elle McNicoll,Unknown,Unknown,,Unknown
Adam McOmber,Man,White,False,Unknown
LaTanya McQueen,Woman,Black,False,Unknown
Casey McQuiston,Nonbinary,White,True,Unknown
Melissa McShane,Woman,White,False,Unknown
Laura Jean Mckay,Woman,White,False,Unknown
Richelle Mead,Woman,White,False,Unknown
Foz Meadows,Nonbinary,White,True,Unknown
Jodi Meadows,Unknown,Unknown,,Unknown
David Means,Unknown,Unknown,,Unknown
M.L. Means,Unknown,Unknown,,Unknown
肉包不吃肉 (Meatbun Does Not Eat Meat),Unknown,Unknown,,Unknown
Scott Medbury,Unknown,Unknown,,Unknown
Kugali Media,Man,Black,False,Unknown
Linda Medley,Woman,White,False,Unknown
Ben Meeks,Unknown,Unknown,,Unknown
Bill Meeks,Man,White,False,Unknown
Uppinder Mehan,Unknown,Unknown,,Unknown
Erin Mehlos,Unknown,Unknown,,Unknown
Rati Mehrotra,Unknown,Unknown,,Unknown
Tashan Mehta,Unknown,Unknown,,Unknown
Buxie Mei,Unknown,Unknown,,Unknown
William Meikle,Unknown,Unknown,,Unknown
R.A. Mejia,Man,Hispanic,False,Unknown
Tehlor Kay Mejia,Woman,Hispanic,True,Unknown
Trevor Melanson,Unknown,Unknown,,Unknown
Drew Melbourne,Unknown,Unknown,,Unknown
O.R. Melling,Unknown,Unknown,,Unknown
Amelia Mellor,Unknown,Unknown,,Unknown
E.J. Mellow,Woman,White,False,Unknown
Colin Meloy,Man,White,False,Unknown
R.M. Meluch,Unknown,Unknown,,Unknown
Herman Melville,Unknown,Unknown,,Unknown
Manish Melwani,Unknown,Unknown,,Unknown
Elijah Menchaca,Man,Hispanic,False,Unknown
Farah Mendlesohn,Woman,White,True,Unknown
Eduardo Mendoza,Unknown,Unknown,,Unknown
Sandhya Menon,Unknown,Unknown,,Unknown
Sarah Mensinga,Woman,White,False,Unknown
Elisa Menz,Unknown,Unknown,,Unknown
Jean Menzies,Woman,White,False,Unknown
Kristyn Merbeth,Unknown,Unknown,,Unknown
Sylvia Mercedes,Woman,White,False,Unknown
Matthew Mercer,Unknown,Unknown,,Unknown
Liane Merciel,Unknown,Unknown,,Unknown
Douglas D. Meredith,Unknown,Unknown,,Unknown
Hannah Meredith,Unknown,Unknown,,Unknown
Anna Meriano,Woman,Hispanic,True,Unknown
K.A. Merikan,Unknown,Unknown,,Unknown
Robert Merle,Unknown,Unknown,,Unknown
K.M. Merritt,Unknown,Unknown,,Unknown
Kendra Merritt,Unknown,Unknown,,Unknown
Desideria Mesa,Unknown,Unknown,,Unknown
Marco Meschiari,Unknown,Unknown,,Unknown
Shannon Messenger,Woman,White,False,Unknown
Joanna Ruth Meyer,Woman,White,False,Unknown
Kai Meyer,Unknown,Unknown,,Unknown
Marissa Meyer,Woman,White,False,Unknown
Scott Meyer,Man,White,False,Unknown
Stephenie Meyer,Woman,White,False,Unknown
Walter E. Meyers,Man,White,False,Unknown
Wayne Meyers,Unknown,Unknown,,Unknown
Gustav Meyrink,Unknown,Unknown,,Unknown
Lee Mi-ye,Unknown,Unknown,,Unknown
J.G. Michael,Unknown,Unknown,,Unknown
Sean Michaels,Unknown,Unknown,,Unknown
Rory Michaelson,Nonbinary,White,True,Unknown
Liz Michalski,Unknown,Unknown,,Unknown
Lincoln Michel,Man,White,False,Unknown
Sarah Micklem,Unknown,Unknown,,Unknown
Yuki Midorikawa,Unknown,Unknown,,Unknown
Midoriko-sama,Unknown,Unknown,,Unknown
Mike Mignola,Man,White,False,Unknown
Jessie Mihalik,Woman,White,False,Unknown
Devon Mihesuah,Unknown,Unknown,,Unknown
Miri Mikawa,Unknown,Unknown,,Unknown
Zoe Hana Mikuta,Woman,Asian,True,Unknown
Cameron Milan,Man,White,False,Unknown
Maura Milan,Unknown,Unknown,,Unknown
C.J. Milbrandt,Woman,White,False,Unknown
Kate Mildenhall,Unknown,Unknown,,Unknown
Terry Miles,Man,White,False,Unknown
Kate Milford,Woman,White,False,Unknown
Mark Millar,Unknown,Unknown,,Unknown
Sas Milledge,Unknown,Unknown,,Unknown
Andrew Miller,Unknown,Unknown,,Unknown
Frank Miller,Unknown,Unknown,,Unknown
Jason Jack Miller,Unknown,Unknown,,Unknown
Jessica Miller,Woman,White,False,Unknown
John J. Miller,Unknown,Unknown,,Unknown
John Jackson Miller,Unknown,Unknown,,Unknown
John Miller,Unknown,Unknown,,Unknown
Karen Miller,Unknown,Unknown,,Unknown
Keith Miller,Unknown,Unknown,,Unknown
Kirsten Miller,Unknown,Unknown,,Unknown
Linsey Miller,Woman,White,False,Unknown
Lulu Miller,Unknown,Unknown,,Unknown
Madeline Miller,Woman,White,False,Unknown
Martin Miller,Unknown,Unknown,,Unknown
Michael R. Miller,Man,White,False,Unknown
Rowenna Miller,Woman,White,False,Unknown
Sam J. Miller,Man,White,False,Unknown
Sasha L. Miller,Unknown,Unknown,,Unknown
Steve Miller,Unknown,Unknown,,Unknown
Tim Miller,Unknown,Unknown,,Unknown
Tom Miller,Man,White,False,Unknown
Marlys Millhiser,Woman,White,False,Unknown
Emma Mills,Unknown,Unknown,,Unknown
H.C. Mills,Man,White,False,Unknown
Michele Mills,Unknown,Unknown,,Unknown
Samantha Mills,Unknown,Unknown,,Unknown
Amanda Milo,Woman,Hispanic,False,Unknown
John Milton,Man,White,False,Unknown
Dolki Min,Unknown,Unknown,,Unknown
Kanae Minato,Woman,Asian,False,Unknown
Wu Ming-Yi,Unknown,Unknown,,Unknown
Janis Mink,Unknown,Unknown,,Unknown
Aiki Mira,Unknown,Unknown,,Unknown
Yu Miri,Woman,Asian,False,Unknown
J.M. Miro,Unknown,Unknown,,Unknown
Hope Mirrlees,Woman,White,False,Unknown
The Mask of Mirrors,Unknown,Unknown,,Unknown
Maya Mistful,Unknown,Unknown,,Unknown
Anthony Mitchell,Man,White,False,Unknown
Christopher Mitchell,Man,White,False,Unknown
David Mitchell,Man,White,False,Unknown
Sandy Mitchell,Man,White,False,Unknown
Saundra Mitchell,Unknown,Unknown,,Unknown
Naomi Mitchison,Woman,White,False,Unknown
Kentaro Miura,Man,Asian,False,Unknown
Shion Miura,Woman,Asian,False,Unknown
Rebecca Mix,Unknown,Unknown,,Unknown
Miyuki Miyabe,Unknown,Unknown,,Unknown
Hayao Miyazaki,Man,Asian,False,Unknown
Iori Miyazawa,Man,Asian,False,Unknown
Kenji Miyazawa,Unknown,Unknown,,Unknown
Takeshi Miyazawa,Unknown,Unknown,,Unknown
China Miéville,Man,White,False,Unknown
Sharon Moalem,Unknown,Unknown,,Unknown
Elizabeth C. Mock,Unknown,Unknown,,Unknown
Rebecca Mock,Unknown,Unknown,,Unknown
Jørgen Moe,Unknown,Unknown,,Unknown
Walter Moers,Man,White,False,Unknown
Deena Mohamed,Unknown,Unknown,,Unknown
Premee Mohamed,Woman,Asian,False,Unknown
Gourav Mohanty,Unknown,Unknown,,Unknown
Virginia M. Mohlere,Woman,White,False,Unknown
Jacob Steven Mohr,Man,White,False,Unknown
Mojikakiya,Unknown,Unknown,,Unknown
Ren Mokumoku,Unknown,Unknown,,Unknown
Yolanda Molina-Gavilan,Unknown,Unknown,,Unknown
Mike Mollman,Unknown,Unknown,,Unknown
Sean Monaghan,Unknown,Unknown,,Unknown
Hillary Monahan,Unknown,Unknown,,Unknown
Ashia Monet,Woman,Black,True,Unknown
Sarah Monette,Woman,White,False,Unknown
Greg Mongrain,Man,White,False,Unknown
Quill Moniker,Man,White,False,Unknown
Karen Marie Moning,Woman,White,False,Unknown
Mea Monique,Unknown,Unknown,,Unknown
John L. Monk,Man,White,False,Unknown
Aster S. Monroe,Unknown,Unknown,,Unknown
Kiyash Monsef,Unknown,Unknown,,Unknown
Kassandra Montag,Woman,White,False,Unknown
Rosa Montero,Woman,White,False,Unknown
Drew Montgomery,Man,White,False,Unknown
Roseanne Montillo,Woman,Hispanic,False,Unknown
Margarita Montimore,Woman,White,False,Unknown
Janelle Monáe,Unknown,Unknown,,Unknown
Cooper Moo,Unknown,Unknown,,Unknown
V. Moody,Unknown,Unknown,,Unknown
