CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
60,1,NA,Rosemary and Rue,Seanan McGuire,Yes,NA,When Women Were Dragons,Kelly Barnhill,Yes,NA,The Fireborne Blade,Charlotte Bond,Yes,NA,The Devil Takes You Home,Gabino Iglesias,Yes,NA,My Darling Dreadful Thing,Johanna van Veen,Yes,NA,The Phoenix Keeper,S.A. MacLean,Yes,NA,The Bards of Bone Plain,Patricia A. McKillip,Yes,NA,The Redemption of Morgan Bright,Chris Panatier,Yes,NA,The Hallows,H.L.Tinsley,Yes,NA,A Marvellous Light,Freya Marske,Yes,NA,Don’t Let The Forest In,C.G. Drews,Yes,NA,The Grace of Kings,Ken Liu,Yes,NA,So Let Them Burn,Kamilah Cole,Yes,NA,The Warm Hands of Ghosts,Katherine Arden,Yes,NA,King's Dragon,Kate Elliott,Yes,NA,"Shipwrecked: Being a tale of true love, magic, and goats",Juniper Butterworth,Yes,NA,The Red Scholar's Wake,Aliette de Bodard,Yes,NA,The Saint of Bright Doors,Vajra Chandrasekera,Yes,NA,The Serpent & the Wings of Night,Carissa Broadbent,Yes,NA,Midnight Rooms,Donyae Coles,Yes,NA,The Woods All Black,Lee Mandelo,Yes,NA,Death's Other Kingdom: Horror Tales of World War I,Coy Hall,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shards of Earth,Adrian Tchaikovsky,Yes,NA,The Tainted Cup,Robert Jackson Bennett,Yes,NA,Palimpsest,Catherynne M. Valente,Yes,NA,8. Prologues and Epilogues,"16. Orcs, Trolls, and Goblins — Oh My!"
61,0,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,The Adventures of Amina al-Sirafi,Shannon Chakraborty,Yes,NA,Fathomfolk,Eliza Chan,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,Assassin's Fate,Robin Hobb,NA,NA,NA,NA,NA,NA,A River Enchanted,Rebecca Ross,Yes,NA,NA,NA,NA,NA,The Fortress,S.A. Jones,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Blade Itself,Joe Abercrombie,Yes,NA,Wind and Truth,Brandon Sanderson,NA,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,NA,NA,NA,NA,Nine Goblins,T. Kingfisher,Yes,NA,Children of Time,Adrian Tchaikovsky,NA,NA,Bitter Medicine,Mia Tsai,Yes,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,NA,Weyward,Emilia Hart,NA,NA,Starling House,Alix E. Harrow,Yes,NA,Dragon Age: The First Five Graphic Novels,David Gaider,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Ninth Rain,Jen Williams,Yes,NA,Babel,R.F. Kuang,Yes,NA,The Curse of Chalion,Lois McMaster Bujold,NA,NA,"16. Orcs, Trolls, and Goblins — Oh My!",9. Self-Published or Indie Publisher
62,0,NA,Penric's Demon,Lois McMaster Bujold,Yes,NA,The Adventures of Amina al-Sirafi,Shannon Chakraborty,Yes,NA,The Tombs of Atuan,Ursula K. Le Guin,Yes,NA,Foundryside,Robert Jackson Bennett,Yes,NA,Street Magic,Tamora Pierce,Yes,NA,A Natural History of Dragons,Marie Brennan,Yes,NA,Midnight Robber,Nalo Hopkinson,NA,NA,Going Postal,Terry Pratchett,Yes,NA,The Year's Midnight,Rachel Neumeier,NA,NA,A Power Unbound,Freya Marske,Yes,NA,The Imposition of Unnecessary Obstacles,Malka Older,Yes,NA,Mirrored Heavens,Rebecca Roanhorse,Yes,NA,The Book of Love,Kelly Link,Yes,NA,The Mercy of Gods,James S. A. Corey,Yes,NA,Foreigner,C. J. Cherryh,Yes,NA,Princess Floralinda and the Forty-Flight Tower,Tamsyn Muir,NA,NA,Some Desperate Glory,Emily Tesh,Yes,NA,Monstrilio,Gerardo Sámano Córdova,Yes,NA,Red Side Story,Jasper Fforde,Yes,NA,The Saint of Bright Doors,Vajra Chandrasekera,Yes,NA,The Only Good Indians,Stephen Graham Jones,Yes,NA,Ghostroots,Pemi Aguda,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Last Light of the Sun,Guy Gavriel Kay,Yes,NA,The Will of the Many,James Islington,Yes,NA,A Woman of the Iron People,Eleanor Arnason,NA,NA,15. Published in the 1990s,11. Dark Academia
63,0,Yes,A Wizard of Earthsea,Ursula K. Le Guin,Yes,NA,"A Messiah at the End of Time; Or, The Transformation of Miss Mavis Ming",Michael Moorcock,Yes,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,Foundryside,Robert Jackson Bennett,Yes,NA,Before They Are Hanged,Joe Abercrombie,Yes,NA,The Fifth Head of Cerberus,Gene Wolfe,Yes,NA,Babel-17,Samuel R. Delany,Yes,NA,A Memory Called Empire,Arkady Martine,Yes,NA,The Blackbird and the Ghost,Huw Steer,Yes,NA,Saints of Storm and Sorrow,Gabriella Buba,Yes,NA,The Historian,Elizabeth Kostova,Yes,NA,Daggerspell,Katharine Kerr,Yes,NA,The Failures,Benjamin Liar,Yes,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,Daughter of the Forest,Juliet Marillier,Yes,NA,Orconomics,J. Zachary Pike,Yes,NA,The Blighted Stars,Megan E. O'Keefe,Yes,NA,Ours,Phillip B. Williams,Yes,NA,A Canticle for Leibowitz,Walter M. Miller Jr.,Yes,NA,Barnaby the Wanderer,Raymond St. Elmo,Yes,NA,The Library at Mount Char,Scott Hawkins,Yes,NA,Exhalation,Ted Chiang,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ring Shout,P. Djeli Clark,Yes,NA,The Dragonbone Chair,Tad Williams,Yes,NA,Dionysus In Wisconsin,E.H. Lupton,Yes,NA,2. Alliterative Title,7. Bards
64,0,NA,The Ember Stone,"Katrina Charman, Jeremy Norton",Yes,NA,Monsters and Mold,"Asia Citro, Marion Lindsay",NA,NA,Rise of the Earth Dragon,"Tracey West, Graham Howells",NA,NA,Fantastic Mr. Fox,Roald Dahl,Yes,NA,Nightmare of the Iguana,Ursula Vernon,NA,NA,Catwings,Ursula K. Le Guin,NA,NA,The Bard and the Beast,"Jordan Quinn, Robert McPhillips",NA,NA,Cucumber Quest: The Doughnut Kingdom,Gigi D.G.,Yes,NA,Hilda and the Mountain King,Luke Pearson,NA,NA,Pupunzel,"Maribeth Boelts, Hollie Hibbert",NA,NA,The Super-Smelly Moldy Blob,Amy Marie Stadelmann,Yes,NA,Lowriders in Space,"Cathy Camper, Raul the Third",NA,NA,Eowulf: Of Monsters & Middle School,Mike Cavallaro,NA,NA,Mighty Jack and the Goblin King,Ben Hatke,Yes,NA,The Great Redwall Feast,"Brian Jacques, Christopher Denise",Yes,NA,No One Returns from the Enchanted Forest,Robin Robinson,Yes,NA,S.O.S. from Outer Space,Ada Hopper,Yes,NA,Olivia Wolf and the Moldy Sandwich,Jose Fragoso,Yes,NA,A Toad for Tuesday,Russell E. Erickson,Yes,NA,Dorothy and the Wizard in Oz,L. Frank Baum,NA,NA,The Deadwood Hill Trap,"Lea Taddonio, Alessia Trunfio",Yes,NA,The Provensen Book of Fairy Tales,Alice Provensen,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finn Family Moomintroll,Tove Jansson,Yes,NA,Ghoulia,Barbara Cantini,Yes,NA,Princess Cora and the Crocodile,"Laura Amy Schlitz, Brian Floca",NA,Title with a Title 2023,NA,25. Book Club or Readalong Book
65,1,NA,Storm Front,Jim Butcher,Yes,NA,Ship of Smoke and Steel,Django Wexler,Yes,NA,Whalefall,Daniel Kraus,Yes,NA,Foundryside,Robert Jackson Bennet,Yes,NA,Fahrenheit 451,Ray Bradbury,Yes,NA,Ninefox Gambit,Yoon Ha Lee,Yes,NA,A Plague of Giants,Kevin Hearne,Yes,NA,Red Sister,Mark Lawrence,Yes,NA,Age of Stone,Jez Cajiao,NA,NA,The Orc and Her Bride,Lila Gwynn,Yes,NA,A Lesson in Vengeance,Victoria Lee,Yes,NA,The Way of Kings,Brandon Sanderson,Yes,NA,The Silverblood Promise,James Logan,Yes,NA,The Blade Itself,Joe Abercrombie,Yes,NA,The Golden Compass,Philip Pullman,Yes,NA,Bookshops and Bonedust,Travis Baldree,Yes,NA,Bluebird,Ciel Pierlot,Yes,NA,The Stardust Thief,Chelsea Abdullah,Yes,NA,Robopocalypse,Daniel H. Wilson,Yes,NA,Ancestral Night,Elizabeth Bear,Yes,NA,Starling House,Alix E. Harrow,Yes,NA,Bridge Across the Stars: A Sci-Fi Bridge Original Anthology,"Chris Pourteau, Rhett C. Bruno",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annihilation,Jeff VanderMeer,NA,NA,The Mask of Mirrors,M.A. Carrick,Yes,NA,Godkiller,Hannah Kaner,NA,NA,20. Judge A Book By Its Cover,25. Book Club or Readalong Book
66,1,Yes,Dungeon Crawler Carl: A LitRPG Adventure,Matt Dinniman,Yes,NA,Ship of Smoke and Steel,Django Wexler,Yes,NA,Twenty Thousand Leagues Under the Sea,Jules Verne,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,The Princess Bride,William Goldman,Yes,NA,I'm Afraid You've Got Dragons,Peter S. Beagle,Yes,NA,Soul Music,Terry Pratchett,Yes,NA,Wind and Truth,Brandon Sanderson,Yes,NA,Barnaby the Wanderer,Raymond St. Elmo,Yes,NA,Of Tides and Snow,Darva Green,Yes,NA,Wilder Girls,Rory Power,Yes,NA,Ship of Magic,Robin Hobb,Yes,NA,The Ministry of Time,Kaliane Bradley,Yes,NA,Before They Are Hanged,Joe Abercrombie,Yes,NA,Permutation City,Greg Egan,Yes,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,Winter's Orbit,Everina Maxwell,Yes,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,NA,Children of Time,Adrian Tchaikovsky,Yes,NA,The Body Scout,Lincoln Michel,Yes,NA,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko, Julia Meitov Hersey",Yes,NA,Stories of Your Life and Others,Ted Chiang,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,Stephen King,Yes,NA,Jade War,Fonda Lee,Yes,NA,The Beast Player,"Nahoko Uehashi, Cathy Hirano",Yes,NA,23. Eldritch Creatures,11. Dark Academia
67,1,NA,Every Heart a Doorway,Seanan McGuire,Yes,NA,Something Wicked This Way Comes,Ray Bradbury,NA,NA,The Hobbit,J.R.R. Tolkien,NA,NA,Red Seas Under Red Skies,Scott Lynch,Yes,NA,"Moon Knight, Vol. 1: From the Dead",Warren Ellis,NA,NA,When the Tiger Came Down the Mountain,Nghi Vo,NA,NA,The Baker and the Bard,Fern Haught,Yes,NA,Legend,David Gemmell,Yes,NA,The Wicked and the Divine,Kieron Gillen,NA,NA,Mooncakes,Suzanne Walker,Yes,NA,"The Magic Order, Vol. 1",Mark Millar,NA,NA,The Alloy of Law,Brandon Sanderson,NA,NA,Ain't No Grave,Skottie Young,NA,NA,"Daredevil, Vol. 1: Know Fear",Chip Zdarsky,Yes,NA,The Infinity Gauntlet,Jim Starlin,Yes,NA,Rat Queens Vol. 1: Sass & Sorcery,Kurtis J. Wiebe,NA,NA,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,NA,Lone Women,Victor LaValle,NA,NA,Dawn,Octavia Butler,Yes,NA,The Builders,Daniel Polansky,Yes,NA,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,Yes,NA,NA,NA,NA,NA,The City Born Great,N.K. Jemisin,Counting Casualties,Yoon Ha Lee,Please Undo This Hurt,Seth Dickinson,The Tale of Ak and Humanity,Yefim Zozulya,Brimstone and Marmalade,Aaron Corwin,Ring Shout,P. Djèlí Clark,Yes,NA,Gideon the Ninth,Tamsyn Muir,Yes,NA,Starter Villain,John Scalzi,NA,NA,23. Eldritch Creatures,10. Romantasy
68,5,Yes,Heroes Die,Matthew Woodring Stover,Yes,NA,Claw of the Conciliator,Gene Wolf,NA,NA,Some Desperate Glory,Emily Tesh,Yes,NA,Count Zero,William Gibson,NA,NA,The Scar,China Mieville,Yes,NA,Wind and Truth,Brandon Sanderson,Yes,Cat Squasher 2021,Son of a Liche,J Zachary Pike,Yes,NA,The World We Make,NK Jemisin,Yes,NA,Card Mage: Slumdog Deckbuilder,Benedict Patrick,NA,NA,The Mimicking of Known Successes,Malka Ann Older,Yes,NA,The Book That Wouldn't Burn,Mark Lawrence,NA,NA,God Emperor of Dune,Frank Herbert,Yes,NA,The Mercy of Gods,James SA Corey,NA,NA,The Bone Ship's Wake,RJ Barker,Yes,NA,A Song for Arbonne,Guy Gavriel Kay,Yes,NA,Thud!,Terry Pratchett,Yes,NA,The Evolutionary Void,Peter F Hamilton,NA,NA,Stories of Your Life and Others,Ted Chiang,NA,NA,Redliners,David Drake,Yes,NA,A Fall of Moondust,Arthur C Clarke,Yes,NA,The Lust Lizard of Melancholy Cove,Christopher Moore,Yes,NA,Swords and Deviltry,Fritz Lieber,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Dead Cat Tail Assassins,P Djeli Clarke,Yes,NA,Empire of Silence,Christopher Ruocchio,Yes,NA,The Left Hand of Darkness,Ursula K LeGuin,NA,NA,"16. Orcs, Trolls, and Goblins — Oh My!",10. Romantasy
69,5,NA,The Serpent and the Wings of Night,Carissa Broadbent,NA,NA,Reign & Ruin,J.D. Evans,NA,NA,Our Wives Under the Sea,Julia Armfield,Yes,NA,American Hippo,Sarah Gailey,Yes,NA,Jonathan Abernathy You Are Kind,Molly McGhee,NA,NA,When Among Crows,Veronica Roth,NA,NA,Lady MacBeth,Ava Reid,NA,2023 Myths and Retellings,In the Hour of Crows,Dana Elmendorf,Yes,NA,Manacled,SenYinLu,NA,NA,Bride,Ali Hazelwood,NA,NA,Bunny,Mona Awad,Yes,NA,A Court of Frost and Starlight,Sarah J Maas,Yes,NA,The Prisoner's Throne,Holly Black,NA,NA,Imposter Syndrome,Mishell Black,Yes,NA,I Who Have Never Known Men,Jacqueline Harpman,NA,NA,Stealing The Troll's Heart,Lyonne Riley,Yes,NA,Some Desperate Glory,Emily Tesh,NA,NA,Mem,Bethany C Morrow,NA,NA,The Familiar,Leigh Bardugo,Yes,NA,My Throat an Open Grave,Tori Bovalino,Yes,NA,"Small Town, Big Magic",Hazel Beck,Yes,NA,The Proper Thing and Other Stories,Seanan McGuire,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hammers on Bone,Cassandra Khaw,NA,NA,Spring's Arcana,Lilith Saintcrow,NA,NA,Catfishing on Catnet,Naomi Kritzer,NA,NA,15. Published in the 1990s,7. Bards
70,3,NA,The Black Prism,Brent Weeks,Yes,NA,DallerGut Dream Department Store,Lee Mi-ye,Yes,NA,Adrift in Currents Clean and Clear,Seanan McGuire,Yes,NA,Theft of Swords,Michael J. Sullivan,Yes,NA,Divine Rivals,Rebecca Ross,Yes,NA,The Last Unicorn,Peter S. Beagle,Yes,NA,Soul Music,Terry Pratchett,Yes,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,Rise of the Tobian Princess,D.L. Gardner,Yes,NA,A Restless Truth,Freya Marske,Yes,NA,An Education in Malice,S.T. Gibson,Yes,NA,The Atlas Six,Olivie Blake,Yes,NA,To Gaze Upon Wicked Gods,Molly X. Chang,Yes,NA,Godkiller,Hannah Kraner,Yes,NA,Jurassic Park,Michael Crichton,Yes,NA,Nine Goblins,T. Kingfisher,Yes,NA,Some Desperate Glory,Emily Tesh,Yes,NA,Chain-Gang All Stars,Nana Kwame Adjei-Brenyah,Yes,NA,Light from Uncommon Stars,Ryka Aoki,Yes,NA,Amarant,Emmeline Arents,Yes,NA,Nothing but the Rain,Naomi Salman,Yes,NA,No One Will Come Back for Us,Premee Mohamed,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Ninth Rain,Jen Williams,Yes,NA,The Wolf in the Whale,Jordanna Max Brodsky,Yes,NA,The Moonday Letters,Emmi Itäranta,Yes,NA,15. Published in the 1990s,23. Eldritch Creatures
71,0,Yes,Sheepfarmer's Daughter,Elizabeth Moon,Yes,NA,The Reckoning of Roku,Randy Ribay,NA,NA,Compass Rose,Anna Burke,Yes,NA,These Burning Stars,Bethany Jacobs,Yes,NA,The Hidden Warrior,Lynn Flewelling,Yes,NA,The Bees,Laline Paull,NA,NA,The Harp of Kings,Juliet Marillier,Yes,NA,Ambessa: Chosen of the Wolf,C. L. Clark,Yes,NA,Mapping Winter (2019 Indie Rewrite edition),Marta Randall,NA,NA,Someone you can build a Nest in,John Wiswell,Yes,NA,NA,NA,NA,Revolutions and Rebellions (2022): Metal from Heaven by August Clarke,Inda,Sherwood Smith,Yes,NA,The Fireborne Blade,Charlotte Bond,NA,NA,Parable of the Sower,Octavia E. Butler,Yes,NA,This Alien Shore,C. S. Friedman,Yes,NA,The Daughters' War,Christopher Buehlman,NA,NA,The Fractured Dark,Megan O'Keefe,Yes,NA,The Art of Destiny,Wesley Chu,NA,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,NA,Song of the Huntress,Lucy Holland,NA,NA,The Bear and the Nightingale,Katherine Arden,Yes,NA,The Birthday of the World and Other Stories,Ursula K. Le Guin,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blindsight,Peter Watts,Yes,NA,Inanna,Emily H. Wilson,Yes,NA,Ammonite,Nicola Griffith,Yes,NA,15. Published in the 1990s,11. Dark Academia
72,6,NA,New Moon,Ian McDonald,Yes,NA,Beneath the Sugar Sky,Seanan McGuire,NA,NA,Miss Subways,David Duchovny,Yes,NA,Starter Villain,John Scalzi,NA,NA,The Calcutta Chromosome,Amitav Ghosh,NA,NA,Black Oxen,Gertrude Atherton,NA,NA,Into the Riverlands,Nghi Vo,NA,NA,The Lost Cause,Cory Doctorow,NA,NA,The Living Sword,Pemry Janes,Yes,NA,The Midnight Bargain,C.L. Polk,NA,NA,Babel,R.F. Kuang,NA,NA,The Bloodline Feud,Charles Stross,NA,NA,When Among Crows,Veronica Roth,NA,NA,The Black Company,Glen Cook,Yes,NA,On Basilisk Station,David Weber,Yes,NA,The Thousand Eyes,A.K. Larkwood,Yes,NA,A Fire Upon the Deep,Vernor Vinge,NA,NA,The Stardust Grail,Yume Kitasei,NA,NA,A Question of Navigation,Kevin Hearne,Yes,NA,Starseed R/evolution: The Awakening,Richard I. Horowitz,Yes,NA,Wide Open,Deborah Coates,Yes,NA,"The Magazine of Fantasty & Science Fiction, Volume 145",Sheree Renée Thomas,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annihilation,Jeff VanderMeer,Yes,NA,Conspirator,C.J. Cherryh,Yes,NA,"Re:Colonised Planet 5, Shikasta",Doris Lessing,NA,NA,"16. Orcs, Trolls, and Goblins — Oh My!",10. Romantasy
73,0,NA,The Empress of Salt and Fortune,Nghi Vo,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,Lady Eve’s Last Con,Rebecca Fraimow,Yes,NA,The House in the Cerulean Sea,TJ Klune,Yes,NA,I’m Afraid You’ve Got Dragons,Peter S. Beagle,Yes,NA,The Baker and the Bard,Fern Haught,Yes,NA,Legends and Lattes,Travis Baldree,Yes,NA,Guarding Gus,Karryn Nagel,Yes,NA,Someone You Can Build a Nest In,John Wiswell,Yes,NA,Don’t Let the Forest In,C.G. Drews,Yes,NA,Graveyard Shift,M.L. Rio,Yes,NA,The Teller of Small Fortunes,Julie Leong,Yes,NA,My Aunt is a Monster,Reimena Yee,Yes,NA,The Book of Ile-Rien,Martha Wells,Yes,NA,The Goblin Emperor,Katherine Addison,Yes,NA,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,NA,Sisters of the Lost Nation,Nick Medina,Yes,NA,The Butcher of the Forest,Premee Mohamed,Yes,NA,A Coup of Tea,Casey Blair,Yes,NA,Mexican Gothic,Silvia Moreno-Garcia,Yes,NA,Never Whistle at Night,"Shane Hawk, Theodore C. Van Alst Jr. with D.H. Trujillo, Stephen Graham Jones, Norris Black, Tiffany Morris, Darcie Little Badger, Tommy Orange, Richard Van Camp, Rebecca Roanhorse, Amber Blaeser-Wardzala, Nick Medina, Kelli Jo Ford, Conley Lyons, Mona Susan Power, Waubgeshig Rice, Brandon Hobson, Theodore C. Van Alst Jr., David Heska Wanbli Weiden, Mathilda Zeller, Carson Faust, Cherie Dimaline, Kate Hart, Andrea L. Rogers, Royce K. Young Wolf, Shane Hawk, Morgan Talty, Marcie R. Rendon, Phoenix Boudreau",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Only Good Indians,Stephen Graham Jones,Yes,NA,How to Become the Dark Lord and Die Trying,Django Wexler,Yes,NA,The Whispering Muse,Laura Purcell,Yes,NA,20. Judge A Book By Its Cover,17. Space Opera
74,2,NA,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,NA,When Women Were Dragons,Kelly Barnhill,Yes,NA,Wool,Hugh Howey,Yes,NA,Too Like the Lightning,Ada Palmer,Yes,NA,The Mask of Mirrors,M.A. Carrick,NA,NA,The Bees,Laline Paull,NA,NA,The Bone Harp,Victoria Goddard,Yes,NA,Orconomics,J. Zachary Pike,Yes,NA,The Bookshop and the Barbarian,Morgan Stang,NA,NA,Small Miracles,Olivia Atwater,Yes,NA,A Study in Drowning,Ava Reid,Yes,NA,Station Eleven,Emily St. John Mandel,Yes,NA,The Sky on Fire,Jenn Lyons,NA,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,The Lions of Al-Rassan,Guy Gavriel Kay,Yes,NA,Cleaver's Edge,Actus,Yes,NA,Translation State,Ann Leckie,Yes,NA,The Book Eaters,Sunyi Dean,Yes,NA,The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,Yes,NA,The Tea Dragon Society,Kay O'Neill,Yes,NA,Starling House,Alix E. Harrow,Yes,NA,The Time Traveler's Almanac,"Ann VanderMeer, Jeff VanderMeer",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aching God,Mike Shel,Yes,NA,The City of Brass,S.A. Chakraborty,Yes,NA,Calico Thunder Rides Again,T.A. Hernandez,NA,NA,6. Entitled Animals,11. Dark Academia
75,6,Yes,Penric's Demon,Lois McMaster Bujold,Yes,NA,Mind of My Mind,Octavia E. Butler,Yes,NA,Heir of Novron,Michael J. Sullivan,NA,NA,Cataclysm,Lydia Kang,NA,NA,The Word for World Is Forest,Ursula K. Le Guin,NA,NA,In the Labyrinth of Drakes,Marie Brennan,Yes,NA,When the Tiger Came Down the Mountain,Nghi Vo,NA,NA,Blood of Dragons,Robin Hobb,Yes,NA,Dragonfired,J. Zachery Pike,NA,NA,Paladin's Grace,T. Kingfisher,NA,NA,Vengeful,V.E. Schwab,Yes,NA,Witch's Abroad,Terry Pratchett,Yes,NA,The Book That Broke the World,Mark Lawrence,NA,NA,Legion: The Many Lives of Stephen Leeds,Brandon Sanderson,Yes,NA,Children of the Mind,Orson Scott Card,Yes,NA,Beren and Lúthien,"J.R.R. Tolkien, Christopher Tolkien",NA,NA,Heretics of Dune,Frank Herbert,NA,NA,Sheine Lende,Darcie Little Badger,NA,NA,Deathless Divide,Justina Ireland,NA,NA,The Fury of the Gods,John Gwynne,NA,NA,Somewhere Beyond the Sea,TJ Klune,Yes,NA,NA,NA,NA,NA,The Daughter of Odren,Ursula K. Le Guin,The Phobos Experience,Mary Robinette Kowal,From the Editorial Page of the Falchester Weekly Review,Marie Brennan,"In Autumn, A White Dragon Looks Over the Wide River",Naomi Novik,A Dead Djinn in Cairo,P. Djèlí Clark,Lords of Uncreation,Adrian Tchaikovsky,Yes,NA,Heart of the Sun Warrior,Sue Lynn Tan,Yes,NA,The Book of M,Peng Shepherd,Yes,NA,15. Published in the 1990s,NA
