Author,gender,ethnicity,queer
Daniel B. Greene,Man,White,FALSE
Daniel H. Wilson,Man,White,FALSE
Daniel Jose Older,Man,Hispanic,FALSE
Daniel Kozuh,Man,White,FALSE
Daniel M. Kimmel,Man,White,FALSE
Daniel M. Lavery,Man,White,TRUE
Daniel Martin,Man,White,FALSE
Daniel O'Malley,Man,White,FALSE
Daniel Polansky,Man,White,FALSE
Daniel Potter,Man,White,FALSE
Daniel Schinhofen,Man,White,FALSE
Daniel T. Jackson,Man,White,FALSE
Danielle Dickie,Woman,White,FALSE
Danielle Garrett,Woman,White,FALSE
Danielle L. Jensen,Woman,White,FALSE
Danny Rickard,Man,White,FALSE
Dante Alighieri,Man,White,FALSE
Dante King,Man,White,FALSE
Daphne Du Maurier,Woman,White,FALSE
Darcie Little Badger,Woman,Native,FALSE
Darcy Coates,Woman,White,FALSE
Darren Charlton,Man,White,FALSE
Darren Ridgley & Adam Petrash,Man,White,FALSE
Daryl Gregory,Man,White,FALSE
Dave Dobson,Man,White,FALSE
Dave Duncan,Man,White,FALSE
David Annandale,Man,White,FALSE
David Brin,Man,White,FALSE
David Clement-Davies,Man,White,FALSE
David Dalglish,Man,White,FALSE
David Day,Man,White,FALSE
David Ebenbach,Man,White,FALSE
David Eddings,Man,White,FALSE
David F. Schultz,Man,White,FALSE
David Farland,Man,White,FALSE
David G. Hartwell,Man,White,FALSE
David G. Hartwell & Jacob Weisman,Unknown,White,FALSE
David Gaider,Man,White,FALSE
David Gemmell,Man,White,FALSE
David H. Reiss,Man,White,FALSE
David Hambling & Peter Rawlik,Man,White,FALSE
David J. Peterson,Man,White,FALSE
David Kudler,Man,White,FALSE
David Lindsay,Man,White,FALSE
David Liss,Man,White,FALSE
David Llewellyn,Man,White,FALSE
David Mitchell,Man,White,FALSE
David Petrie,Man,White,FALSE
David R. Slayton,Man,White,TRUE
David Rowe,Man,White,FALSE
David Stahler Jr.,Man,White,FALSE
David Thomas Moore,Man,White,FALSE
David Weber,Man,White,FALSE
David Weber & Steve White,Man,White,FALSE
David Wellington,Man,White,FALSE
David Whitaker,Man,White,FALSE
David Wong,Man,Asian,FALSE
David Wragg,Man,White,FALSE
David Wroblewski,Man,White,FALSE
Davis Ashura,Man,Asian,FALSE
Davis Bunn,Man,White,FALSE
Dawn Chapman,Woman,White,FALSE
Dawson George,Man,White,FALSE
Day Al-Mohamed,Man,Asian,FALSE
Day Leitao,Woman,Hispanic,FALSE
Dean Henegar,Man,White,FALSE
Dean Koontz,Man,White,FALSE
Dean Wesley Smith & Kristine Kathryn Rusch,Unknown,White,FALSE
Dean-Paul Stephens,Man,Black,FALSE
Deborah Harkness,Woman,White,FALSE
Deborah Install,Woman,White,FALSE
Deborah Makarios,Woman,White,FALSE
Debra Castaneda,Woman,Hispanic,FALSE
Debra Dunbar,Woman,White,FALSE
Deirdre Sullivan,Woman,White,FALSE
Demi Harper,Woman,White,FALSE
Dempow Torishima,Man,Asian,FALSE
Dennis E. Taylor,Man,White,FALSE
Dennis Liggio,Man,White,FALSE
Dennis Venderkerken & Dakota Krout,Man,White,FALSE
Derek Landy,Man,White,FALSE
Desirina Boskovich,Woman,White,FALSE
Desmond Warzel,Man,White,FALSE
Destiny Soria,Woman,Hispanic,FALSE
Deston J. Munden,Man,Black,TRUE
Devin Madson,Woman,White,FALSE
Dhonielle Clayton,Woman,Black,FALSE
Diana Biller,Woman,White,FALSE
Diana Gabaldon,Woman,Native,FALSE
Diana M. Pho,Woman,Asian,TRUE
Diana Pavlac Glyer,Woman,White,TRUE
Diana Pinguicha,Woman,White,TRUE
Diana Wynne Jones,Woman,White,FALSE
Diane Duane,Woman,White,FALSE
Diane Setterfield,Woman,White,FALSE
Django Wexler,Man,White,FALSE
Dojyomaru,Man,Asian,FALSE
Dolores Reyes,Woman,Hispanic,FALSE
Domagoj Kurmaic,Man,White,FALSE
Dominik Parisien,Man,White,TRUE
Dominik Parisien & Navah Wolfe,Unknown,White,TRUE
Donald A. Wollheim,Man,White,FALSE
Donna Barba Higuera,Woman,Hispanic,FALSE
Donny Cates,Man,White,FALSE
Dorian Lynskey,Man,White,FALSE
Dorian Wolfe,Woman,White,FALSE
Doris Egan,Woman,White,TRUE
Doug Enstrom,Man,White,FALSE
Douglas Adams,Man,White,FALSE
Douglas Niles,Man,White,FALSE
Drew Hayden Taylor,Man,White,FALSE
Drew Hayes,Man,White,FALSE
